PRODUCT_NAME,CATEGORY_NAME,DESCRIPTION,PRICE,DISCOUNT,IN_STORE_LOCATION
Athletic Cushioned Crew Socks 6 Pairs,Accessories,"Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry.",20,0.0,"Aisle 3, Shelf 1"
Inter Miami CF Home Authentic Jersey,Clothing,"The future's a blank canvas. When Inter Miami CF step out in front of the home crowd, they'll wear a white uniform that shines under the Florida sun. This adidas soccer jersey is a juniors' version of their official home shirt. It keeps you dry on the training ground, though it's clean enough to wear on the street. The lightweight fabric displays embossed herons and sunset-pink details.",70,0.0,"Aisle 1, Shelf 8"
Cushioned Mid-Crew Socks 2 Pairs,Accessories,"To get serious about training, start from the ground up. Give your feet the cushioned support and moisture-absorbing comfort of these adidas mid-cut crew socks. They have a Traxion footbed for a secure, no-slip fit as you train.",14,0.0,"Aisle 3, Shelf 2"
Tour Camo-Print Hat,Accessories,"Whether you prefer to dress it up or keep it casual, this adidas golf hat adds the finishing touch to any look on the links. Block your face from the bright sun as you eye the green. Play through in comfort and head for the clubhouse in versatile, street-inspired style.

This product is made with Primegreen, a series of high-performance recycled materials.",30,0.0,"Aisle 3, Shelf 3"
Essentials Loose Logo Tank Top,Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",20,5.0,"Aisle 1, Shelf 9"
Superstar Shoes,Shoes,"Ready to shine. Whether they're watching a game from the sidelines or taking their first steps towards shooting hoops themselves, these shoes will set your infant up for success. Ever since 1970, when the adidas Superstar shoe first appeared on the basketball court, they've held their place as an icon. This version shines with iridescent 3-Stripes. Elastic laces allow for easy on and off.",50,0.0,"Aisle 2, Shelf 4"
Formotion Sculpt Tights,Clothing,"Sometimes confidence comes in a surprising form. These adidas tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive Formotion design follows your natural movement for a better fit and greater comfort in motion. A high rise and flattering length help you focus, even before class begins.",48,32.0,"Aisle 1, Shelf 10"
Marvel X Ghosted.3 Firm Ground Cleats,Shoes,X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.,64,16.0,"Aisle 2, Shelf 5"
Pureboost 21 Shoes,Shoes,"For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill.",91,39.0,"Aisle 2, Shelf 6"
Lite Racer BYD 2.0 Shoes,Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",56,14.0,"Aisle 2, Shelf 7"
Adilette Shower Slides,Shoes,"When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day.",20,5.0,"Aisle 2, Shelf 8"
Conext 21 Mini Ball,Accessories,"The world moves to the beat of the beautiful game. This adidas Conext 21 Mini Ball displays a vibrant design inspired by motion. Its interlinking panels represent the unity of soccer's six continental federations. Beneath the laminated surface, a foam core means you won't need a pump to keep this pint-sized ball rolling.",10,4.0,"Aisle 3, Shelf 4"
Essentials Logo Dress,Clothing,"If ease is what you're looking for, then the search stops here. This adidas dress is all about it. All you have to do is pull it on, and instantly you're set with comfort. And style, which just comes naturally when there's a big and undeniable adidas Badge of Sport making a statement on the front. The loose shape drapes the body in soft cotton and lets you move entirely your way.",32,3.0,"Aisle 1, Shelf 11"
Copa Sense.3 Turf Shoes,Shoes,"In the cage. On the court. When the walls close in, your senses take over. Let Copa Sense elevate your touch as you switch up your game. The stretchy collar on these adidas soccer shoes makes for easy entry and a secure fit. Once on, the anatomically designed upper keeps you firmly locked in. Soft and durable, the leather forefoot brings step-in comfort and a touch that buys you time on the busiest courts.",64,16.0,"Aisle 2, Shelf 9"
Best Version of Myself Slogan Graphic Tank Top,Clothing,"Every day brings a new opportunity to be the best version of yourself. The inspirational graphic on this adidas tank top reminds you to strive to be a little bit better than the day before. Reach for that goal in comfort, thanks to the racerback design and moisture-absorbing AEROREADY technology. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste.",18,7.0,"Aisle 1, Shelf 12"
Essentials 3-Stripes Full-Zip Hoodie,Clothing,"There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts.",44,11.0,"Aisle 1, Shelf 13"
adidas Sportswear Future Icons Logo Graphic Tee,Clothing,"There are times to go hard, and then there are moments to give into the stillness. Both are a showcase of strength. Whatever the speed, this adidas t-shirt is down for it. Soft material hangs on the body with a loose, casual shape for total comfort. A logo graphic on the front puts your dedication on full display — not like it wasn't already clear.",24,6.0,"Aisle 1, Shelf 14"
FutureNatural Shoes,Shoes,"Trends change, but feet remain the same. Made for running and training, these adidas shoes were designed to work with the foot to support natural movement in every direction. A smooth transition between the adidas Primeknit upper and injected PU midsole provides a seamless fit and unrestricted feel. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",84,36.0,"Aisle 2, Shelf 10"
Marvel Superhero Racer TR 2.0 Shoes,Shoes,"For the toddler in your family who's already always on the move, keep their feet cozy in these adidas shoes. The soft upper and lightweight midsole let them explore the big new world in comfort and confidence.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",35,8.0,"Aisle 2, Shelf 11"
Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket,Clothing,"Dash out the door feeling ready for it all. This track jacket has a slim cut with raglan sleeves for a distraction-free feel while warming up or recovering later on. Side pockets keep a bus pass and music player within reach. 

This product is made with Primegreen, a series of high-performance recycled materials.",40,10.0,"Aisle 1, Shelf 15"
Sherpa Jacket,Clothing,"Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made.",120,30.0,"Aisle 4, Shelf 1"
Yoga Pants,Clothing,"Find your bliss in these adidas yoga pants. AEROREADY wicks away moisture as you try to hold your Scorpion Pose one more second. The soft French terry build might make you not want to get up from Corpse Pose. But achieving that reset feeling afterwards brings you back every time.

This product is made with Primegreen, a series of high-performance recycled materials.",56,14.0,"Aisle 4, Shelf 2"
AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee,Clothing,"This long sleeve tee is made for busy days. From working out to hauling the kids around town, you'll appreciate the smart design details at every step. Its FreeLift design means an enhanced range of motion and extra coverage at the back. 

This product is made with Primegreen, a series of high-performance recycled materials.",24,6.0,"Aisle 4, Shelf 3"
Essentials French Terry 3-Stripes Hoodie,Clothing,"Cool nights and early mornings call for the solid, reliable warmth of this adidas hoodie. The classic design is inspired by old-school workout gear from the adidas archive. Hot tip: One of the best ways to settle into a feeling of ease? Soft French terry fabric. Which is exactly what this is made of. So zip in, and get comfortable. You really don't have a choice.",42,18.0,"Aisle 4, Shelf 4"
Fluidflash Shoes,Shoes,"You never blend in. So pair your attitude with your look in these adidas Fluidflash Shoes. A design inspired by outer space levels up your sneaker game. Luxe, lightweight softness makes you feel like you're walking in zero gravity. Liftoff.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",60,25.0,"Aisle 2, Shelf 12"
Essentials Slim Logo Shorts,Clothing,"Go ahead and settle in. Not only do you deserve it, but these adidas shorts make it easy. Soft French terry material is to thank for that. Also, shout out to the drawcord-adjustable waist, which lets you personalize the fit to your liking. While we're giving credit, the side slits on the hem should be given their dues for making sure you move without restriction in total comfort.",18,7.0,"Aisle 4, Shelf 5"
Essentials 3-Stripes Crop Top,Clothing,"You deserve comfort, and this crop top makes sure you get it. It also makes sure you're not just feeling good, but that you look good too. The minimalist, sporty build is all about versatility, which encourages you to make the look entirely yours. Layered, on its own, with high-waisted trousers or played down with sweats — you really can't go wrong. The soft cotton jersey fabric keeps you comfortable, even on the longest of days, with just the perfect amount of stretch.",20,5.0,"Aisle 4, Shelf 6"
ZX 2K Boost Shoes,Shoes,The ZX stepped onto the scene as a revolutionary line of technical runners. These adidas ZX 2K Boost Shoes honor the spirit of innovation that drives change in tech and in culture. No-sew overlays add depth to the upper. Boost keeps your energy high so you're always moving forward.,105,45.0,"Aisle 2, Shelf 13"
ZX 2K Boost 2.0 Shoes,Shoes,ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,105,45.0,"Aisle 2, Shelf 14"
Racer TR21 Shoes,Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",60,15.0,"Aisle 2, Shelf 15"
Aeromotion Pants,Clothing,"These adidas workout pants are made for cool-weather training sessions. The slim fit and lightweight feel ensure distraction-free comfort, and the fabric keeps your muscles warm and ready to move. Moisture-absorbing AEROREADY helps you stay dry. Cinch the drawcord on the elastic waist for just the right fit.

This product is made with Primegreen, a series of high-performance recycled materials.",42,18.0,"Aisle 4, Shelf 7"
Crew Sweatshirt,Clothing,"Even in its simplest version, this adidas sweatshirt goes all in on drama. A metallic-gold Trefoil logo hints at what's in store. Open up the matching zips to reveal a mesh layer underneath. A silhouette transformed in seconds. Your comfort never changes, thanks to the ultra-soft French terry.",60,15.0,"Aisle 4, Shelf 8"
Allover Print Camo Shorts and Tee Set,Clothing,"They're so vibrant, not even camouflage can make them blend in. Get kids dressed to explore in this adidas shorts and t-shirt set. Bright yellow splashes on the camo shout to their unstoppable energy. Soft cotton fabric means they'll be comfy, no matter where their discoveries take them.

By buying cotton products from us, you're supporting more sustainable cotton farming.",36,9.0,"Aisle 4, Shelf 9"
Marimekko Believe This Primegreen AEROREADY Training Bra,Clothing,"Celebrate female empowerment your own way. Designed with Finnish label Marimekko, this juniors' adidas training bra shows off your fierce, feminine spirit. Bright colors in Marimekko's famous Räsymatto design give you signature style. Work hard in comfort thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials.",20,8.0,"Aisle 4, Shelf 10"
Brand Love Repeat Logo High-Waist Woven Pants,Clothing,"First things first. These are not your average track pants. They've got big personality, with an allover crinkle texture and a stacked adidas Badge of Sport that will make you do a double take. Elastic at the waist and ankles gives a secure fit with plenty of give.

This product is made with recycled content as part of our ambition to end plastic waste.",36,9.0,"Aisle 4, Shelf 11"
adidas x Zoe Saldana Feelbrilliant AEROREADY 3/4 Printed Sport Tights,Clothing,"With these adidas tights, you don't have to choose between function and style. Bend, stretch and flex confidently in a snug fit that offers coverage in all the right places. Stay comfortable even when your workout heats up, then move on to the rest of your day feeling fresh and dry, thanks to moisture-absorbing AEROREADY. The allover print brings style for any occasion.",36,9.0,"Aisle 4, Shelf 12"
3-Stripes Low Cut Socks 3 Pairs,Accessories,"Long sets of tuck-ups or leg presses, workouts feel just a little bit easier with the 3-Stripes on your side. Cut low for a comfort, these socks show off a touch of adidas love on the cuff for added motivation when you need it. Lightweight, moisture-wicking yarn keeps your feet feeling as good as they look.",10,4.0,"Aisle 3, Shelf 5"
Future Icons 3-Stripes Tapered-Leg Pants,Clothing,"Let your 3-Stripes do your talking for you. Warm up or cool down between workouts in these juniors' pants. Show off your love of adidas with a fresh take on the 3-Stripes. Soft knit feels like the weekend no matter what day you wear them. Enough said.

This product is made with Primegreen, a series of high-performance recycled materials.",32,13.0,"Aisle 4, Shelf 13"
HEAT.RDY Warrior Tee,Clothing,"Boot camp: Day one. Ah, the old inflatable obstacle course. You're going to conquer it like it's a bouncy castle. This adidas training t-shirt is made with HEAT.RDY to maximize airflow, so you feel cool as you maneuver. Three minutes later, you're swinging through the waterfall, and you're out.",40,10.0,"Aisle 4, Shelf 14"
ZX 2K Boost Pure Shoes,Shoes,Peer into pure satisfaction. Lace into the stealthy upper of the ZX 2K BOOST PURE's sophisticated tech silhouette. Feel the soft materials embrace your feet. Take a squishy step. The ZX universe just expanded to a new level of sensation.,135,15.0,"Aisle 5, Shelf 1"
EQ21 Run Shoes,Shoes,"When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",64,16.0,"Aisle 5, Shelf 2"
Delpala x FMF Shoes,Shoes,"Witness the rebirth of adidas vulcanized shoes. Democratic to the core, your style spans the ocean to connect the attitude of Mexico's team to a laid-back California vibe. Pops of color? Yes. Metallic gold accents? Of course. Super fresh look? Totally.",52,13.0,"Aisle 5, Shelf 3"
ZX 1K Boost Shoes,Shoes,"In a constantly evolving world, keeping up is just part of the routine. Stay on top of it in these airy knit mesh adidas shoes. The ZX series has merged technology with culture since the '80s. Today a combination of Boost and EVA cushioning keeps you comfortable as you charge through the day.",70,30.0,"Aisle 5, Shelf 4"
Puremotion Shoes,Shoes,Be ready for days when the action keeps coming. Head out the door in these running-inspired shoes that combine simple elegance with lasting comfort. The plush midsole cushions each stride to keep you feeling energized until long after sundown.,56,14.0,"Aisle 5, Shelf 5"
Grand Court Shoes,Shoes,Tennis shoe style reached a pinnacle in the 1970s and has never looked back. Bring some heritage vibes to your daily-wear wardrobe with these adidas shoes. Coated leather is durable with a premium finish. The rubber outsole completes the throwback look. Star Wars™ graphics add a unique touch.,52,13.0,"Aisle 5, Shelf 6"
Marathon 20 Shorts,Clothing,"Meet the workhorse of workout wear. Soft and breathable, these adidas running shorts are sporty and super comfortable. AEROREADY helps keep moisture off your skin and your mind on your run. Now you're ready for anything.",21,5.0,"Aisle 4, Shelf 15"
Multix Shoes,Shoes,"They say the morning sets the tone for the day. So why not start it off with a win and lace into these adidas Multix Shoes? They're straight from the track, so they know about a fast pace, comfort and the push to the finish line. (Yes, we're getting metaphorical here.)

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",56,24.0,"Aisle 5, Shelf 7"
X9000L3 Shoes,Shoes,"Your avatar might wear futuristic shoes like these, but you can wear them in real life. Made for short to mid-distance runs, these adidas running shoes have a sculpted Jetboost midsole that returns energy and adds stability. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content.",96,24.0,"Aisle 5, Shelf 8"
LOUNGEWEAR Adicolor Essentials Tee,Clothing,"The limits of this adidas t-shirt are essentially non-existent. Which is perfect, since boundaries aren't really your thing. The loose shape lets you keep things casual should you choose, but the solid color means it's total playtime whenever you want to clash it with some in-your-face prints. Balance, you know?

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste.",20,5.0,"Aisle 6, Shelf 1"
Ultralight Allover Graphic Crew Performance Socks,Accessories,"Not all socks are created equal. These adidas crew socks are built for tough training sessions. Sleek and lightweight, they hug your foot like a second skin. AEROREADY wicks moisture, so you stay dry from first rep to last. 

This product is made with Primegreen, a series of high-performance recycled materials.",13,5.0,"Aisle 3, Shelf 6"
Ultimate365 Core 8.5-Inch Shorts,Clothing,"Pull on these adidas golf shorts to keep your cool through warm weather rounds. Their lightweight, breathable fabric delivers dependable comfort on the links. A water-resistant coating sheds damp weather with ease.",46,19.0,"Aisle 6, Shelf 2"
Adicolor Classics 3-Stripes Crew Sweatshirt,Clothing,"The temperature dropped, but that doesn't mean your style has to dip too. Thanks to the heavyweight French terry build and iconic 3-Stripes, this adidas sweatshirt keeps you feeling cozy and looking fresh at the same time. 

Our cotton products support sustainable cotton farming. This product is also made with recycled content as part of our ambition to end plastic waste.",48,12.0,"Aisle 6, Shelf 3"
AEROREADY Designed 2 Move Sport Stretch Tee,Clothing,"When it comes to versatility, nothing holds a candle to your favorite t-shirt. Move through your busy day feeling comfortable and ready for anything in the laid-back style of this adidas tee.

This product is made with Primegreen, a series of high-performance recycled materials.",20,5.0,"Aisle 6, Shelf 4"
4ATHLTS ID Duffel Bag Small,Accessories,"Sneak in a jog on your way to the gym with this adidas lightweight duffel bag on your back. The adjustable carry straps let you wear it two ways. When you're headed out for a weekend jaunt, switch it up again and get ready for adventure.

This product is made with Primegreen, a series of high-performance recycled materials.",28,12.0,"Aisle 3, Shelf 7"
LOUNGEWEAR Essentials Logo Fleece Hoodie,Clothing,"The nice thing about a hoodie is being able to mix and match it with everything. This one from adidas is cut from a soft fleece fabric that's cozy enough to wear every day. Pair it with jeans, or keep it mellow and match it with sweats. You can't go wrong. 

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste.",40,10.0,"Aisle 6, Shelf 5"
Running Ultralight Crew Performance Socks,Accessories,"Mile after mile, these adidas running socks stay in place and keep you dry. AEROREADY is thin for a sleek feel. It hugs your foot securely like a second skin.

This product is made with Primegreen, a series of high-performance recycled materials.",12,3.0,"Aisle 3, Shelf 8"
Finale 21 20th Anniversary UCL Mini Ball,Accessories,Celebrate two decades of star-studded soccer with this adidas Finale 21 Mini Ball. It's decorated with panel designs from every UCL Finale ball since it made its debut in Europe's top tournament. The seamless laminated surface and foam core mean you can show off your sparkling skills without stopping to pump it up.,10,4.0,"Aisle 3, Shelf 9"
HER Studio London Track Jacket,Clothing,"When HER Studio London is involved, you know that means bold colors and wild prints. So no surprise that this adidas track jacket stands out wherever you are. 

Part of our ongoing collaboration with the powerhouse studio behind some of the most expressive patterns around, this jacket is an update of the classic silhouette. Signature details pop against the loud floral print, rooting the look in adidas DNA.",64,16.0,"Aisle 6, Shelf 6"
Warp knit Cargo Pants,Clothing,"Work on your swing at the driving range or play a round. These adidas golf pants have a flexible warp knit fabric for enhanced breathability and an unrestricted range of motion on the course. A modern, tapered cut adds to their casual feel. Use the zip cargo pocket for your scorecard or tees.

This product is made with Primegreen, a series of high-performance recycled materials.",77,33.0,"Aisle 6, Shelf 7"
Essentials 3-Stripes Cropped Hoodie,Clothing,"Who said hoodies had to have that XXL vibe? This cropped take on the always-cozy pullover hoodie is proof that the relaxed fit does just fine without all that extra bulk. Iconic 3-Stripes down both arms and the adidas Badge of Sport give your look instant streetwear cred. 

This product is made with recycled content as part of our ambition to end plastic waste.",36,9.0,"Aisle 6, Shelf 8"
Marathon Running Jacket (Plus Size),Clothing,"Prepare yourself for the long run. And the wet and windy ones, too. Zip into the light, breathable protection of this adidas running jacket made with recycled materials. You'll feel dry and serene, even if the weather isn't.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.",80,20.0,"Aisle 6, Shelf 9"
SAMBAROSE Shoes,Shoes,"These adidas SAMBAROSE Shoes take the Samba's classic soccer look and raises it to new heights. A platform sole puts a trendy spin on this sporty silhouette. A tie-dyed upper gives them a colorful, eye-catching look.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",60,40.0,"Aisle 5, Shelf 9"
AEROREADY Designed 2 Move Sport Tee,Clothing,"This adidas training tee has a simple design that you can wear as you get in those miles on the elliptical then head out to grab groceries. A long hem in the back gives extra coverage, whether you're doing a set of squats or just loading bags in and out of the car. Lightweight AEROREADY absorbs moisture and gives an overall comfy feel. 

This product is made with Primegreen, a series of high-performance recycled materials. It's also made with recycled content as part of our ambition to end plastic waste.",18,4.0,"Aisle 6, Shelf 10"
Designed 2 Move 7/8 Sport Tights (Maternity),Clothing,"These adidas maternity sport tights balance support with lightweight comfort. A high-rise elastic waist and specially designed maternity fit give you the confidence to move through your workout, whether it's a neighborhood jog, yoga class or circuit at the gym. Classic, minimalist adidas style is clean and crisp, and AEROREADY keeps you dry.

This product is made with Primegreen, a series of high-performance recycled materials.",36,9.0,"Aisle 6, Shelf 11"
Adilette Comfort Slides,Shoes,Some things stay the same. These adidas swim slides have been pampering athletes' feet since the '70s. The casual slip-on design is for quick trips between the pool and shower.,28,7.0,"Aisle 5, Shelf 10"
Essentials Mélange Embroidered Small Logo Hoodie,Clothing,"Toss on this adidas sweatshirt for a cozy layer in cool weather. Pop the hood to cover up a case of bed head, then adjust the drawcord to get just the right fit. French terry brings the comfort for long days or some chill time at home.

This product is made with recycled content as part of our ambition to end plastic waste. Our cotton products support sustainable cotton farming.",39,16.0,"Aisle 6, Shelf 12"
adidas Sportswear Future Icons Logo Graphic Pants,Clothing,"Workout done. Endorphins pumping. No need to slow the vibe down, just throw on these adidas pants and keep it flowing. They're all about feeling good, as evident from the soft French terry fabric that settles you right into total, absolute comfort. Which is well deserved, we might add. Recycled materials go ahead and up the game. Because with these pants, they go beyond feeling good. They do good, too.",44,11.0,"Aisle 6, Shelf 13"
LOUNGEWEAR Essentials Logo Tee,Clothing,"The classic design on this heavyweight t-shirt makes it super easy to mix and match. Go sporty with a pair of track pants, or throw it on with jeans for a day out shopping. An oversize adidas Badge of Sport across the chest makes it clear you're a sports lover.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste.",20,5.0,"Aisle 6, Shelf 14"
Classic 3-Stripes Swim Shorts,Clothing,"Surfing, paddleboarding or just floating on a raft. Whatever you do in the water, these adidas swim shorts keep you comfortable. They have a very short length and inner briefs for full coverage. Lightweight, quick-drying fabric lets you transition easily from sea to land. 

Made with a series of  recycled materials, and at least 60% recycled content, this product represents just one of our solutions to help end plastic waste.",32,3.0,"Aisle 6, Shelf 15"
adidas Sportswear Future Icons 3-Stripes Tee,Clothing,"It doesn't matter where you are. Your mind is always in the same place. Your dedication to sport is obvious, but this adidas t-shirt makes it even more clear with a flash of diagonal 3-Stripes across the sleeves. Whether you're in game-plan mode, celebrating after practice or just in total reset mode — the soft cotton material makes sure you stay comfortable.",24,6.0,"Aisle 7, Shelf 1"
LOUNGEWEAR Tights,Clothing,"Is there anything more versatile than leggings? They can easily go the sporty route, keeping things casual and comfortable. Thank the soft cotton here for that. (And the added stretch, that makes sure that however you're moving, or not moving, you feel good.) Plus all it takes is shrugging on a blazer and we're talking mellow sophistication. The high-rise waist isn't just about coverage, though it offers plenty of that, but it also adds an on point look perfect for crop tops or an oversize tee tuck. Basically, these adidas tights are all about ease.",28,7.0,"Aisle 7, Shelf 2"
adidas Sportswear W.N.D. Windbreaker,Clothing,"Sometimes one day can feel like a trip across three seasons. This adidas windbreaker is a versatile piece for the transitional months. It's built for commuters, with a design you can pack away into a pouch that snaps around your waist. The lightweight fabric has a loose cut, so it's easy to layer. 

This product is made with Primegreen, a series of high-performance recycled materials.",68,17.0,"Aisle 7, Shelf 3"
adidas Sportswear Future Icons 3-Stripes Hoodie,Clothing,"Where your physical body is may change, but where your head is at is consistent. Lounging. Recovering. Prepping. Being. Moving. This adidas hoodie shows off your commitment to the game. Contrast 3-Stripes wrap around from the shoulders, flashing a pop of the iconic sign-off down the sleeves. Super soft, the cozy doubleknit material makes sure you feel good whatever you're doing.",46,19.0,"Aisle 7, Shelf 4"
AEROREADY Warrior Tee,Clothing,Stand amped up and ready in the first row at boot camp in this adidas t-shirt. The slim fit hugs your body when you go down for push-ups and explode back up for squat jacks. AEROREADY keeps you dry so you have stamina to spare when your instructor picks up the pace.,32,8.0,"Aisle 7, Shelf 5"
adidas Sportswear Future Icons 3-Stripes Pants,Clothing,"Where your physical body is may change, but where your head is at is consistent. Lounging. Recovering. Prepping. Being. Moving. These adidas pants show off your commitment to the game. Contrast 3-Stripes wrap slightly from the hip, flashing just a slight pop of the iconic sign-off from the front. Super soft, the cotton blend material makes sure you feel good whatever you're doing.",44,11.0,"Aisle 7, Shelf 6"
